,"Chinese_by夏堇"
"_AudioLinkPathTimeOffsetBandA","A频带"
"_AudioLinkPathTimeOffsetA","时间偏移A"
"_PathALEmissionOffset","<size=13><b>自发光偏移</b></size>"
"_AudioLinkPathEmissionAddBandR","R频带"
"_AudioLinkPathEmissionAddR","自发光偏移R"
"_AudioLinkPathEmissionAddBandG","G频带"
"_AudioLinkPathEmissionAddG","自发光偏移G"
"_AudioLinkPathEmissionAddBandB","B频带"
"_AudioLinkPathEmissionAddB","自发光偏移B"
"_AudioLinkPathEmissionAddBandA","A频带"
"_AudioLinkPathEmissionAddA","自发光偏移A"
"_PathALWidthOffset","<size=13><b>宽度偏移</b></size>"
"_AudioLinkPathWidthOffsetBandR","R频带"
"_AudioLinkPathWidthOffsetR","宽度偏移R"
"_AudioLinkPathWidthOffsetBandG","G频带"
"_AudioLinkPathWidthOffsetG","宽度偏移G"
"_AudioLinkPathWidthOffsetBandB","B频带"
"_AudioLinkPathWidthOffsetB","宽度偏移B"
"_AudioLinkPathWidthOffsetBandA","A频带"
"_AudioLinkPathWidthOffsetA","宽度偏移A"
"_PathALHistory","<size=13><b>历史记录</b></size>"
"_PathALHistoryBandR","R频带"
"_PathALHistoryR","R历史"
"_PathALHistoryBandG","G频带"
"_PathALHistoryG","G历史"
"_PathALHistoryBandB","B频带"
"_PathALHistoryB","B历史"
"_PathALHistoryBandA","A频带"
"_PathALHistoryA","A历史"
"_PathALChrono","<size=13><b>计时时间</b></size>"
"_PathChronoBandR","R频带"
"_PathChronoTypeR","R运动类型"
"_PathChronoSpeedR","R速度"
"_PathChronoBandG","G频带"
"_PathChronoTypeG","G运动类型"
"_PathChronoSpeedG","G速度"
"_PathChronoBandB","B频带"
"_PathChronoTypeB","B运动类型"
"_PathChronoSpeedB","B速度"
"_PathChronoBandA","A频带"
"_PathChronoTypeA","A运动类型"
"_PathChronoSpeedA","A速度"
"_PathALAutoCorrelator","<size=13><b>自动相关器</b></size>"
"_PathALAutoCorrelatorR","R型"
"_PathALAutoCorrelatorG","G型"
"_PathALAutoCorrelatorB","B型"
"_PathALAutoCorrelatorA","A型"
"_PathALCCR","R色和弦带"
"_PathALCCG","G色和弦带"
"_PathALCCB","B色和弦带"
"_PathALCCA","A色和弦带"
"m_start_mirrorOptions","镜像选项"
"_EnableMirrorOptions","镜像选项"
"_VisibilityMode","可见性模式"
"_Mirror","镜像可见性"
"_VisibilityVRCRegular","正常（外后视镜/摄像头）"
"_VisibilityVRCMirrorVR","镜子（VR）"
"_VisibilityVRCMirrorDesktop","镜子（桌面）"
"_VisibilityVRCCameraVR","相机（虚拟现实）"
"_VisibilityVRCCameraDesktop","相机（桌面）"
"_VisibilityVRCCameraScreenshot","截屏"
"_MirrorColor","镜面颜色"
"_MirrorTexture","镜面纹理"
"_MirrorTexturePan","纹理平移"
"_MirrorTextureUV","纹理UV"
"_MirrorTextureBlendType","纹理混合类型"
"m_end_mirrorOptions","镜像选项结束"
"m_start_depthFX","深度特效"
"_EnableTouchGlow","深度特效"
"_DepthMask","深度遮罩"
"_DepthMaskPan","遮罩平移"
"_DepthMaskUV","遮罩UV"
"_DepthMaskChannel","遮罩通道"
"_DepthMaskGlobalMask","全局遮罩"
"_DepthMaskGlobalMaskBlendType","全局遮罩混合类型"
"_DepthColorToggle","<size=13><b>颜色和自发光</b></size>"
"_DepthColorBlendMode","颜色混合模式"
"_DepthTexture","深度纹理"
"_DepthTexturePan","纹理平移"
"_DepthTextureUV","纹理UV"
"_DepthColor","颜色"
"_DepthEmissionStrength","自发光强度"
"_DepthColorMinDepth","最小深度"
"_DepthColorMaxDepth","最大深度"
"_DepthColorMinValue","最小颜色混合"
"_DepthColorMaxValue","最大颜色混合"
"_DepthAlphaToggle","<size=13><b>Alpha</b></size>"
"_DepthAlphaMinDepth","最小深度"
"_DepthAlphaMaxDepth","最大深度"
"_DepthAlphaMinValue","最小Alpha"
"_DepthAlphaMaxValue","最大Alpha"
"m_end_depthFX","深度特效结束"
"m_start_Iridescence","虹彩设置"
"_EnableIridescence","虹彩"
"_IridescenceRamp","虹彩渐变"
"_IridescenceRampPan","渐变平移"
"_IridescenceMask","虹彩遮罩"
"_IridescenceMaskPan","遮罩平移"
"_IridescenceMaskUV","遮罩UV"
"_IridescenceMaskChannel","遮罩通道"
"_IridescenceMaskGlobalMask","全局遮罩"
"_IridescenceMaskGlobalMaskBlendType","全局遮罩混合类型"
"_IridescenceNormalToggle","自定义法线"
"_IridescenceNormalMap","法线贴图"
"_IridescenceNormalIntensity","法线强度"
"_IridescenceNormalMapPan","法线贴图平移"
"_IridescenceNormalMapUV","法线贴图UV"
"_IridescenceNormalSelection","法线选择"
"_IridescenceIntensity","虹彩强度"
"_IridescenceAddBlend","添加混合"
"_IridescenceReplaceBlend","替换混合"
"_IridescenceMultiplyBlend","乘法混合"
"_IridescenceEmissionStrength","自发光强度"
"_IridescenceHueShiftEnabled","<size=13><b>色相偏移</b></size>"
"_IridescenceHueShiftSpeed","色相偏移速度"
"_IridescenceHueShift","色相偏移"
"m_start_IridescenceAudioLink","音频链接 ♫"
"_IridescenceAudioLinkEmissionAddBand","自发光频带"
"_IridescenceAudioLinkEmissionAdd","自发光添加"
"m_end_IridescenceAudioLink","音频链接结束"
"m_end_Iridescence","虹彩设置结束"
"m_start_Text","统计数据叠加"
"m_start_Text","统计数据叠加"
"_TextEnabled","文本"
"_TextGlyphs","字体数组"
"_TextPixelRange","像素范围"
"m_start_TextFPS","FPS文本"
"_TextFPSEnabled","FPS文本"
"_TextFPSUV","FPS文本UV"
"_TextFPSColor","文本颜色"
"_TextFPSEmissionStrength","自发光强度"
"_TextFPSOffset","文本偏移"
"_TextFPSRotation","文本旋转"
"_TextFPSScale","文本缩放"
"_TextFPSPadding","文本填充减少"
"m_end_TextFPS","FPS文本结束"
"m_start_TextPosition","位置文本"
"_TextPositionEnabled","位置文本"
"_TextPositionUV","位置文本UV"
"_TextPositionColor","文本颜色"
"_TextPositionEmissionStrength","自发光强度"
"_TextPositionOffset","文本偏移"
"_TextPositionRotation","文本旋转"
"_TextPositionScale","文本缩放"
"_TextPositionPadding","文本填充减少"
"m_end_TextPosition","位置文本结束"
"m_start_TextInstanceTime","实例时间"
"_TextTimeEnabled","时间文本"
"_TextTimeUV","时间文本UV"
"_TextTimeColor","文本颜色"
"_TextTimeEmissionStrength","自发光强度"
"_TextTimeOffset","文本偏移"
"_TextTimeRotation","文本旋转"
"_TextTimeScale","文本缩放"
"_TextTimePadding","文本填充减少"
"m_end_TextInstanceTime","实例时间结束"
"m_start_TextNumeric","数字文本（WIP）"
"_TextNumericEnabled","数字文本"
"_TextNumericUV","数字文本UV"
"_TextNumericColor","文本颜色"
"_TextNumericValue","显示值"
"_TextNumericWholeDigits","整数位"
"_TextNumericDecimalDigits","小数位"
"_TextNumericTrimZeroes","修剪前导零"
"_TextNumericEmissionStrength","自发光强度"
"_TextNumericOffset","文本偏移"
"_TextNumericRotation","文本旋转"
"_TextNumericScale","文本缩放"
"_TextNumericPadding","文本填充减少"
"m_end_TextNumeric","数字文本结束"
"m_end_Text","MSDF文本叠加结束"
"m_start_FXProximityColor","接近颜色效果"
"_FXProximityColor","接近颜色效果"
"_FXProximityColorType","使用位置"
"_FXProximityColorMinColor","最小距离颜色"
"_FXProximityColorMaxColor","最大距离颜色"
"_FXProximityColorMinDistance","最小距离"
"_FXProximityColorMaxDistance","最大距离"
"_FXProximityColorBackFace","强制背面颜色"
"m_start_internalparallax","内部视差"
"_PoiInternalParallax","内部视差"
"_ParallaxInternalHeightmapMode","视差模式"
"_ParallaxInternalHeightFromAlpha","Alpha高度"
"_ParallaxInternalMap","内部高度贴图"
"_ParallaxInternalMapPan","高度贴图平移"
"_ParallaxInternalMapMask","内部遮罩"
"_ParallaxInternalMapMaskPan","遮罩平移"
"_ParallaxInternalMapMaskUV","遮罩UV"
"_ParallaxInternalMapMaskChannel","遮罩通道"
"_ParallaxInternalIterations","内部视差迭代次数"
"_ParallaxInternalMinDepth","最小深度"
"_ParallaxInternalMaxDepth","最大深度"
"_ParallaxInternalMinFade","最小深度亮度"
"_ParallaxInternalMaxFade","最大深度亮度"
"_ParallaxInternalMinColor","最小深度颜色"
"_ParallaxInternalMaxColor","最大深度颜色"
"_ParallaxInternalPanDepthSpeed","每级速度倍增"
"_ParallaxInternalHueShiftEnabled","<size=13><b>色相偏移</b></size>"
"_ParallaxInternalHueShift","色相偏移"
"_ParallaxInternalHueShiftSpeed","色相偏移速度"
"_ParallaxInternalHueShiftPerLevel","每级色相变化"
"m_end_internalparallax","内部视差结束"
"m_start_truchet","Truchet"
"_EnableTruchet","Truchet"
"_TruchetUV","UV"
"_TruchetShape","形状"
"_TruchetDensity","密度"
"_TruchetThiccness","厚度"
"_TruchetColor","颜色"
"_TruchetPan","平移"
"_TruchetTex","Truchet纹理"
"_TruchetAlpha","Alpha"
"_TruchetEmissionStrength","自发光强度"
"_TruchetTexPan","纹理平移"
"m_start_videoEffects","视频效果"
"_VideoEffectsEnable","视频效果"
"_VideoType","屏幕类型"
"_VideoBacklight","背光亮度"
"_VideoEmissionEnabled","自发光"
"_VideoPixelTexture","像素纹理"
"_VideoPixelTextureUV","像素纹理UV"
"_VideoMaskTexture","遮罩纹理"
"_VideoMaskTexturePan","遮罩纹理平移"
"_VideoMaskTextureUV","遮罩纹理UV"
"_VideoMaskTextureChannel","遮罩通道"
"m_start_VideoSettings","视频纹理设置"
"_VideoResolution","分辨率"
"_VideoPixelateToResolution","像素化至分辨率"
"_VideoSaturation","饱和度"
"_VideoContrast","对比度"
"m_end_VideoSettings","视频纹理设置结束"
"m_start_CRT","显像管设置"
"_VideoCRTRefreshRate","刷新率"
"_VideoCRTPixelEnergizedTime","像素淡入淡出时间"
"m_end_CRT","显像管设置结束"
"m_start_Gameboy","Gameboy设置"
"_VideoGameboyRamp","颜色渐变"
"m_end_Gameboy","Gameboy设置结束"
"m_end_videoEffects","视频效果结束"
"m_AudioLinkCategory","音频链接"
"m_start_audioLink","音频链接设置"
"_EnableAudioLink","音频链接"
"_AudioLinkHelp","此部分包含音频链接的全局控件。各个功能的控件位于各自的部分。 （发射、溶解等...）"
"_AudioLinkAnimToggle","动画切换"
"m_end_audioLink","音频链接"
"m_start_ALDecalSpectrum","AL ♫ 光谱"
"_EnableALDecal","AL贴花"
"_ALDecalType","贴花类型"
"_ALDecalUVMode","UV模式"
"_ALDecalUV","UV"
"_ALUVPosition","位置"
"_ALUVScale","缩放"
"_ALUVRotation","旋转"
"_ALUVRotationSpeed","旋转速度"
"_ALDecalLineWidth","线宽"
"_ALDecaldCircleDimensions","圆尺寸"
"_ALDecalVolumeStep","音量步进编号（0 = 关闭）"
"_ALDecalVolumeClipMin","最小音量剪辑"
"_ALDecalVolumeClipMax","最大音量剪辑"
"_ALDecalBandStep","频段步进编号（0 = 关闭）"
"_ALDecalBandClipMin","最小频段剪辑"
"_ALDecalBandClipMax","最大频段剪辑"
"_ALDecalShapeClip","<size=13><b>形状剪辑</b></size>"
"_ALDecalShapeClipVolumeWidth","体积宽度"
"_ALDecalShapeClipBandWidth","频段宽度"
"_ALDecalVolume","音量"
"_ALDecalBaseBoost","低音增强"
"_ALDecalTrebleBoost","高音增强"
"_ALDecalColorMask","颜色与遮罩"
"_ALDecalColorMaskPan","遮罩平移"
"_ALDecalColorMaskUV","遮罩UV"
"_ALDecalVolumeColorSource","颜色来源"
"_ALDecalVolumeColorLow","低音量颜色"
"_ALDecalLowEmission","低音量自发光"
"_ALDecalVolumeColorMid","中音量颜色"
"_ALDecalMidEmission","中音量自发光"
"_ALDecalVolumeColorHigh","高音量颜色"
"_ALDecalHighEmission","高音量自发光"
"_ALDecalBlendType","混合类型"
"_ALDecalBlendAlpha","Alpha"
"_ALDecalControlsAlpha","覆盖Alpha"
"m_end_ALDecalSpectrum","AL ♫ 光谱"
"m_modifierCategory","修饰符"
"m_start_Stochastic","随机采样"
"_StochasticMode","采样模式"
"g_start_deliot","德利奥特·海茨"
"_StochasticDeliotHeitzDensity","细节密度"
"g_end_deliot","德利奥特·海茨"
"g_start_hextile","六角形"
"_StochasticHexGridDensity","六角网格密度"
"_StochasticHexRotationStrength","旋转强度"
"_StochasticHexFallOffContrast","衰减对比度"
"_StochasticHexFallOffPower","衰减强度"
"g_end_hextile","六角形"
"m_end_Stochastic","随机采样"
"m_start_uvDistortion","UV畸变"
"_EnableDistortion","畸变"
"_DistortionUvToDistort","要扭曲的UV"
"_DistortionMask","遮罩"
"_DistortionMaskPan","遮罩平移"
"_DistortionMaskUV","遮罩UV"
"_DistortionMaskChannel","遮罩通道"
"_DistortionFlowTexture","扭曲纹理1"
"_DistortionFlowTexturePan","纹理1平移"
"_DistortionFlowTextureUV","纹理1UV"
"_DistortionFlowTexture1","扭曲纹理2"
"_DistortionFlowTexture1Pan","纹理2平移"
"_DistortionFlowTexture1UV","纹理2UV"
"_DistortionStrength","扭曲强度1"
"_DistortionStrength1","扭曲强度2"
"m_start_DistortionAudioLink","音频链接 ♫"
"_EnableDistortionAudioLink","音频链接"
"_DistortionStrengthAudioLinkBand","强度1频段"
"_DistortionStrengthAudioLink","强度1偏移范围"
"_DistortionStrength1AudioLinkBand","强度2频段"
"_DistortionStrength1AudioLink","强度2偏移范围"
"m_end_DistortionAudioLink","音频链接结束"
"m_end_uvDistortion","UV畸变结束"
"m_start_uvPanosphere","全景UV"
"_StereoEnabled","立体声"
"_PanoUseBothEyes","透视正确 (VR)"
"m_end_uvPanosphere","全景UV结束"
"m_start_uvPolar","极坐标UV"
"_PolarUV","UV"
"_PolarCenter","中心坐标"
"_PolarRadialScale","径向刻度"
"_PolarLengthScale","长度比例"
"_PolarSpiralPower","螺旋动力"
"m_end_uvPolar","极坐标UV结束"
"m_start_parallax","视差高度贴图"
"_PoiParallax","视差"
"_ParallaxUV","适用于UV"
"_HeightMap","高度图"
"_HeightMapPan","高度图平移"
"_HeightMapUV","高度图UV"
"_Heightmask","遮罩"
"_HeightmaskPan","遮罩平移"
"_HeightmaskChannel","遮罩通道"
"_HeightmaskInvert","倒置遮罩"
"_HeightmaskUV","遮罩UV"
"_HeightStrength","高度强度"
"_CurvatureU","曲率U"
"_CurvatureV","曲率V"
"_HeightStepsMin","最少步数"
"_HeightStepsMax","最多步数"
"_CurvFix","曲率修正"
"m_end_parallax","视差高度贴图结束"
"m_start_BlackLightMasking","黑光遮罩"
"_BlackLightMaskingEnabled","黑光遮罩"
"_BlackLightMasking0Key","遮罩0键"
"_BlackLightMasking0Range","遮罩0范围"
"_BlackLightMasking0GlobalMaskIndex","应用全局遮罩0"
"_BlackLightMasking0GlobalMaskBlendType","全局遮罩0混合类型"
"_BlackLightMasking1Key","遮罩1键"
"_BlackLightMasking1Range","遮罩1范围"
"_BlackLightMasking1GlobalMaskIndex","应用全局遮罩1"
"_BlackLightMasking1GlobalMaskBlendType","全局遮罩1混合类型"
"_BlackLightMasking2Key","遮罩2键"
"_BlackLightMasking2Range","遮罩2范围"
"_BlackLightMasking2GlobalMaskIndex","应用全局遮罩2"
"_BlackLightMasking2GlobalMaskBlendType","全局遮罩2混合类型"
"_BlackLightMasking3Key","遮罩3键"
"_BlackLightMasking3Range","遮罩3范围"
"_BlackLightMasking3GlobalMaskIndex","应用全局遮罩3"
"_BlackLightMasking3GlobalMaskBlendType","全局遮罩3混合类型"
"m_end_BlackLightMasking","黑光遮罩结束"
"m_start_normalCorrect","法线修正"
"_NormalCorrect","法线修正"
"_NormalCorrectAmount","法线修正量"
"_NormalCorrectOrigin","法线修正起源"
"m_postprocessing","后期处理"
"_PPHelp","PP（后期处理）动画是一组可用于修改着色器亮度的字段。主要用于Avatars 3.0，通过在运行时对其进行动画处理以适应用户的环境"
"_PPLightingMultiplier","照明倍增器"
"_PPLightingAddition","灯光添加"
"_PPEmissionMultiplier","自发光倍增器"
"_PPFinalColorMultiplier","最终颜色倍增器"
"m_start_postprocess","后期处理"
"_PostProcess","后期处理"
"_PPMask","遮罩"
"_PPMaskPan","遮罩平移"
"_PPMaskChannel","遮罩通道"
"_PPMaskInvert","遮罩倒置"
"_PPMaskUV","遮罩UV"
"_PPHue","色调"
"_PPTint","着色"
"_PPRGB","RGB"
"_PPContrast","对比度"
"_PPSaturation","饱和度"
"_PPBrightness","亮度"
"_PPLightness","亮度"
"_PPHDR","高动态范围"
"_PPPosterization","<size=13><b>色调分离</b></size>"
"_PPPosterizationAmount","色调分离数量"
"m_renderingCategory","渲染"
"_Cull","剔除"
"_ZTest","Z测试"
"_ZWrite","Z写入"
"_ColorMask","颜色遮罩"
"_OffsetFactor","偏移因子"
"_OffsetUnits","偏移单位"
"_RenderingReduceClipDistance","减少剪辑距离"
"_IgnoreFog","忽略雾"
"Instancing","实例化"
"m_start_blending","混合"
"_BlendOp","RGB混合运算"
"_SrcBlend","RGB源混合"
"_DstBlend","RGB目标混合"
"_AddBlendOp","附加RGB混合运算"
"_AddSrcBlend","附加RGB源混合"
"_AddDstBlend","附加RGB目标混合"
"m_start_alphaBlending","高级Alpha混合"
"_BlendOpAlpha","Alpha混合运算"
"_SrcBlendAlpha","Alpha源混合"
"_DstBlendAlpha","Alpha目标混合"
"_AddBlendOpAlpha","附加Alpha混合运算"
"_AddSrcBlendAlpha","附加Alpha源混合"
"_AddDstBlendAlpha","附加Alpha目标混合"
"m_end_alphaBlending","高级Alpha混合结束"
"m_end_blending","混合结束"
"m_start_StencilPassOptions","模板选项"
"_StencilType","模板类型"
"_StencilRef","模板参考值"
"_StencilReadMask","模板读取遮罩值"
"_StencilWriteMask","模板写入遮罩值"
"_StencilPassOp","模板通过操作"
"_StencilFailOp","模板失败操作"
"_StencilZFailOp","模板 ZFail 操作"
"_StencilCompareFunction","模板比较函数"
"m_start_StencilPassBackOptions","背面选项"
"_FFBFStencilHelp0","由于 Unity 的模板管理，正面和背面模板仅在锁定时才起作用"
"_StencilBackPassOp","背面通过操作"
"_StencilBackFailOp","背面失败操作"
"_StencilBackZFailOp","背面 ZFail 操作"
"_StencilBackCompareFunction","背面比较函数"
"m_end_StencilPassBackOptions","背面选项结束"
"m_start_StencilPassFrontOptions","正面选项"
"_FFBFStencilHelp1","由于 Unity 的模板管理，正面和背面模板仅在锁定时才起作用"
"_StencilFrontPassOp","正面通过操作"
"_StencilFrontFailOp","正面失败操作"
"_StencilFrontZFailOp","正面 ZFail 操作"
"_StencilFrontCompareFunction","正面比较函数"
"m_end_StencilPassFrontOptions","正面选项结束"
"m_end_StencilPassOptions","模板选项结束"
"m_start_OutlineStencil","轮廓模板"
"_OutlineStencilType","轮廓模板类型"
"_OutlineStencilRef","轮廓模板参考值"
"_OutlineStencilReadMask","轮廓模板读取遮罩值"
"_OutlineStencilWriteMask","轮廓模板写入遮罩值"
"_OutlineStencilPassOp","轮廓模板通过操作"
"_OutlineStencilFailOp","轮廓模板失败操作"
"_OutlineStencilZFailOp","轮廓模板 ZFail 操作"
"_OutlineStencilCompareFunction","轮廓模板比较函数"
"m_start_OutlineStencilPassBackOptions","轮廓背面选项"
"_FFBFOutlineStencilHelp0","由于 Unity 的模板管理，正面和背面模板仅在锁定时才起作用"
"_OutlineStencilBackPassOp","轮廓背面通过操作"
"_OutlineStencilBackFailOp","轮廓背面失败操作"
"_OutlineStencilBackZFailOp","轮廓背面 ZFail 操作"
"_OutlineStencilBackCompareFunction","轮廓背面比较函数"
"m_end_OutlineStencilPassBackOptions","轮廓背面选项结束"
"m_start_OutlineStencilPassFrontOptions","轮廓正面选项"
"_FFBFOutlineStencilHelp1","由于 Unity 的模板管理，正面和背面模板仅在锁定时才起作用"
"_OutlineStencilFrontPassOp","轮廓正面通过操作"
"_OutlineStencilFrontFailOp","轮廓正面失败操作"
"_OutlineStencilFrontZFailOp","轮廓正面 ZFail 操作"
"_OutlineStencilFrontCompareFunction","轮廓正面比较函数"
"m_end_OutlineStencilPassFrontOptions","轮廓正面选项结束"
"m_end_OutlineStencil","轮廓模板结束"
"m_start_outlineBlending","轮廓混合"
"_OutlineBlendOp","RGB 混合操作"
"_OutlineSrcBlend","RGB 源混合"
"_OutlineDstBlend","RGB 目标混合"
"_OutlineBlendOpAlpha","Alpha 混合操作"
"_OutlineSrcBlendAlpha","Alpha 源混合"
"_OutlineDstBlendAlpha","Alpha 目标混合"
"m_end_outlineBlending","轮廓混合"
"Opaque","不透明"
"Cutout","剪切"
"TransClipping","透视剪裁"
"Fade","淡出"
"Transparent","透明"
"Additive","加法"
"Soft Additive","软加法"
"Multiplicative","乘法"
"2x Multiplicative","2倍乘法"
"Off","关闭"
"Theme Color 0","主题颜色 0"
"Theme Color 1","主题颜色 1"
"Theme Color 2","主题颜色 2"
"Theme Color 3","主题颜色 3"
"ColorChord 0","颜色和弦 0"
"ColorChord 1","颜色和弦 1"
"ColorChord 2","颜色和弦 2"
"ColorChord 3","颜色和弦 3"
"AL Theme 0","AL 主题 0"
"AL Theme 1","AL 主题 1"
"AL Theme 2","AL 主题 2"
"AL Theme 3","AL 主题 3"
"UV0","UV0"
"UV1","UV1"
"UV2","UV2"
"UV3","UV3"
"Panosphere","全景球"
"World Pos XZ","世界坐标XZ"
"Polar UV","极地UV"
"Distorted UV","扭曲UV"
"R Hue Mask","R 色调遮罩"
"G Brightness Mask","G 亮度遮罩"
"B Saturation Mask","B 饱和度遮罩"
"Motion increases as intensity of band increases","运动随着频带强度的增加而增加"
"Above but Smooth","如上但更平滑"
"Motion moves back and forth as a function of intensity","运动作为强度的函数来回移动"
"Above but Smoooth","如上但更平滑"
"Fixed speed increase when the band is dark Stationary when light","频带较暗时固定速度增加，光亮时静止"
"Above but Smooooth","如上但更平滑"
"Fixed speed increase when the band is dark Fixed speed decrease when light","频带较暗时固定速度增加，光亮时固定速度减少"
"Above but Smoooooth","如上但更平滑"
"1R","1R"
"1G","1G"
"1B","1B"
"1A","1A"
"2R","2R"
"2G","2G"
"2B","2B"
"2A","2A"
"3R","3R"
"3G","3G"
"3B","3B"
"3A","3A"
"4R","4R"
"4G","4G"
"4B","4B"
"4A","4A"
"Replace","替换"
"Darken","变暗"
"Multiply","正片叠底"
"Color Burn","颜色加深"
"Linear Burn","线性加深"
"Lighten","变亮"
"Screen","滤色"
"Color Dodge","颜色减淡"
"Linear Dodge(Add)","线性减淡（添加）"
"Overlay","叠加"
"Soft Lighten","柔光"
"Hard Light","强光"
"Vivid Light","鲜艳光"
"Linear Light","线性光"
"Pin Light","点光"
"Hard Mix","强光混合"
"Difference","差值"
"Exclusion","排除"
"Subtract","相减"
"Divide","相除"
"R Texture Mask","R 纹理遮罩"
"G Normal Mask","G 法线遮罩"
"B Nothing","B 无"
"A Nothing","A 无"
"R Both","R 两者"
"G Right","G 右"
"B Left","B 左"
"A unused","A 未使用"
"Show In Both","两边都显示"
"Show Only In Mirror","仅在镜子中显示"
"Dont Show In Mirror","不在镜子中显示"
"R Mask","R 遮罩"
"G Mask","G 遮罩"
"B Mask","B 遮罩"
"A Mask","A 遮罩"
c0 Mask","贴花 0 遮罩"
"Decal 1 Mask","贴花 1 遮罩"
"Decal 2 Mask","贴花 2 遮罩"
"Decal 3 Mask","贴花 3 遮罩"
"R","R"
"G","G"
"B","B"
"A","A"
"Direct Color","直接颜色"
"Indirect Color","间接颜色"
"Light Map","光照贴图"
"Attenuation","衰减"
"N Dot L","N·L"  // N dot L，指法线和光线的点积
"Half Dir","半方向"
"Direction","方向"
"Add Color","添加颜色"
"Add Attenuation","添加衰减"
"Add Shadow","添加阴影"
"Add N Dot L","添加 N·L"
"Metallic Map","金属贴图"
"Cloth Mask","布料遮罩"
"Reflectance","反射率"
"Smoothness","光滑度"
"RGB Color","RGB颜色"
"A Offset","A 偏移"
"Overall Specular","整体镜面反射"
"Specular 0","镜面反射 0"
"Specular 1","镜面反射 1"
"UTS Style","UTS 风格"
"Top Pinch","顶部融合"
"Double Sided","双面"
"Skybox","天空盒"
"Reflection","反射"
"World Normal Direction","世界法线方向"
"Local Normal Direction","局部法线方向"
"Add","添加"
"Mixed","混合"
"Two Samples","两个样本"
"Ten Samples","十个样本"
"R Metallic Map","R 金属贴图"
"G Smoothness Map","G 平滑度图"
"B Reflection Mask","B 反射遮罩"
"A Specular Mask","A 镜面遮罩"
"ClearCoat Mask","透明涂层遮罩"
"Smoothness Map","平滑度图"
"Reflection Mask","反射遮罩"
"Specular Mask","镜面遮罩"
"Toon","卡通"
"Realistic","现实"
"R Path","R 路径"
"G Path","G 路径"
"B Path","B 路径"
"A Path","A 路径"
"Generic","通用"
"VRC","VRC"
"Depth Gradient","深度梯度"
"Straight","直线"
"Curved","曲线"
"lil Spectrum","小光谱"
"Simple","简单"
"Front Face vs Back Face","正面与背面"
"m_thirdpartyCategory","第三方"
"m_experimentalCategory","实验"
"m_furCategory","毛皮"
"_FurLayerCount","毛皮层数"
"_FurLength","毛皮长度"
"_FurGravityStrength","毛皮重力强度"
"_FurColor","毛皮颜色"
"_FurTexture","毛皮纹理"
"_FurTexturePan","毛皮纹理平移"
"_FurTextureUV","毛皮纹理UV"
"_FurTextureApplyToSkin","将毛皮纹理应用于皮肤"
"_FurMask","毛皮遮罩"
"_FurMaskPan","毛皮遮罩平移"
"_FurMaskUV","毛皮遮罩UV"
"_FurHeightMap","毛皮高度图"
"_FurHeightMapPan","毛皮高度图平移"
"_FurHeightMapUV","毛皮高度图UV"
"_FurHeightMapMinMax","毛皮高度图最小值最大值"
"_FurAO","毛皮环境遮蔽（AO）"
"_FurAOMinMax","毛皮环境遮蔽最小最大值"
"_FurHueShiftEnabled","<size=13><b>毛皮色调偏移</b></size>"
"_FurHueShiftSpeed","毛皮色调偏移速度"
"_FurHueShift","毛皮色相偏移"
"m_start_furAdvanced","高级毛皮设置"
"_FurUseVertexColorNormals","使用顶点颜色法线"
"_FurMinDistance","毛皮最小距离"
"_FurMaxDistance","毛皮最大距离"
"m_end_furAdvanced","高级毛皮设置结束"
"Texture","纹理"
"Point 2 Point","点对点"
"Sphere NOT DONE","球体（未完成）"
"center out NOT DONE","从中心向外（未完成）"
"Out in NOT DONE","从外向内（未完成）"
"m_geoDissolve","几何溶解"
"_GeoDissolveAlpha","溶解Alpha"
"_GeoDissolveGradientType","渐变类型"
"_GeoDissolveVertexColor","顶点颜色位置"
"_GeoDissolveGradient","渐变"
"_GeoDissolveGradientPan","渐变平移"
"_GeoDissolveExpansionTime","膨胀时间"
"_GeoDissolveStartPoint","起点"
"_GeoDissolveEndPoint","终点"
"_GeoDissolveSpiral","螺旋"
"_GeoDissolveSpin","旋转"
"_GeoDissolveTravelDistance","行驶距离"
"_GeoDissolveScaleRange","缩放范围"
"_GeoDissolveTexture","溶解纹理"
"_GeoDissolveTexturePan","纹理平移"
"_GeoDissolveTextureUV","纹理UV"
"_GeoDissolveColor","溶解颜色"
"_geoEmissionStrength","发射强度"
"_GeoDissolveColorRange","颜色范围"
"_GeoDissolveEmissionRange","发射范围"
"m_grabPassCategory","GrabPass"
"m_start_GrabPass","GrabPass透明度"
"_EnableGrabpass","GrabPass"
"_GrabPassUseAlpha","使用Alpha"
"_GrabPassBlendMap","混合贴图"
"_GrabPassBlendMapPan","混合贴图平移"
"_GrabPassBlendMapUV","混合贴图UV"
"_GrabPassBlendMapChannel","混合贴图通道"
"_GrabPassBlendFactor","混合量"
"_GrabPassBlendGlobalMask","全局遮罩"
"_GrabPassBlendGlobalMaskBlendType","全局遮罩混合类型"
"_GrabSrcBlend","源混合"
"_GrabDstBlend","目标混合"
"m_start_Refraction","折射"
"_RefractionEnabled","折射"
"_RefractionIndex","折射率"
"_RefractionFalloff","折射衰减"
"_RefractionChromaticAberattion","色差"
"m_end_Refraction","折射结束"
"m_start_Blur","模糊"
"_EnableBlur","模糊"
